itemnumber,checkouts,biblionumber,itemcallnumber,author,title
271176,1,184322,LC72.2 .K67 1999,"Kors, Alan Charles",The shadow university :
271215,1,184353,HB835 .C29 2006,"Carnegie, Andrew,","The ""gospel of wealth"" essays and other writings /"
271237,1,184372,PN1997 .W5275 2002,,What dreams may come
271262,1,184397,PN1995.9.F6735 G433 2005,,Gegen die Wand
271263,1,184398,PN1995.9.F6735 M322 2003,,Das Mädchen Rosemarie
271265,1,184400,PN1995.9.F6735 L523 2005,,Liberated zone
271270,1,184403,PS3537.I85 J85 2004,"Sinclair, Upton,",The jungle /
271333,1,184454,N7410 .H66 2006,"Hooper, Steven,",Pacific encounters :
271336,1,184457,HA29 .S2365 2007,"Salkind, Neil J.",Statistics for people who (think they) hate statistics /
271344,1,184465,PZ7.H37275 Big 2006,"Helakoski, Leslie.",Big chickens /
271361,1,184482,T11 .D33 2006,"Day, Robert A.,",How to write and publish a scientific paper /
271367,1,184488,PZ7.S8055 Don 2006,"Stauffacher, Sue,",Donutheart /
271376,1,184497,E99.C6 K425 2006,Keewaydinoquay,"Keewaydinoquay, stories from my youth /"
271381,1,184502,F572.N8 B63 2006,"Bohnak, Karl,",So cold a sky :
271394,1,184514,DB955 .H34 2006,"Hanebrink, Paul A.",In defense of Christian Hungary :
271397,1,184517,DC397 .V56 2006,"Vinen, Richard.",The unfree French :
271464,1,184583,KF4541 .H58 2007,"Holton, Woody",Unruly Americans and the origins of the Constitution /
271483,1,184602,BP161.3 .I57 2002,,Inside Islam
271484,1,184603,BP187.3 .I57 2003,,Inside Mecca
271485,1,184604,HQ814 .C55 2006,"Clarke-Stewart, Alison,",Divorce :
271541,1,184657,ML200.5 .A44 2000,,American mavericks /
271555,1,184669,HQ1190 .T378 2006,"Tarrant, Shira,",When sex became gender /
271584,1,184698,BL1237.46 .W67 2007,,"Women's lives, women's rituals in the Hindu tradition /"
271593,1,184703,BP165.5 .S85 2007,"Sultan, Sohaib.",The Qurʼan and sayings of Prophet Muhammad :
271598,1,184708,TR849.M87 S55 2003,"Solnit, Rebecca",River of shadows :
271600,1,184710,NX60 .L33,,The Language of images /
271682,1,184736,HD6079.2.U5 S49 2007,,The sex of class :
271697,1,184749,RC569.5.M8 O96 2005,"Oxnam, Robert B.",A fractured mind :
271705,1,184757,RA781 .V53 1999,"Moffat, Marilyn.",Book of body maintenance and repair /
271714,1,184766,HC240 .B384 2007,"Behrman, Greg,",The most noble adventure :
271749,1,184800,KF4772 .T43 2005,"Tedford, Thomas L.",Freedom of speech in the United States /
271756,1,184807,BS2970 .U55 2005,,The unknown sayings of Jesus /
271825,1,184876,RA395.A3 S53 2007,,Sicko
